PRICE,DATE,QUARTER,MONTH,YEAR,NEIGHBORHOOD,CLUSTER,WARD,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
475,29/09/2008,3,9,"2,008",COLUMBIA HEIGHTS,2,1,420,769,0,1,1,0,1,0,1,0,4,3199.56,689.258,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
454,18/12/2008,4,12,"2,008",COLUMBIA HEIGHTS,2,1,533,1051,0,2,2,0,1,0,1,0,4,3199.56,689.258,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
495,08/12/2008,4,12,"2,008",COLUMBIA HEIGHTS,2,1,533,1051,0,2,2,0,1,0,1,0,4,3199.56,689.258,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
474,22/10/2008,4,10,"2,008",COLUMBIA HEIGHTS,2,1,488,981,0,2,2,0,1,0,1,0,4,3199.56,689.258,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
447,15/09/2008,3,9,"2,008",COLUMBIA HEIGHTS,2,1,540,871,0,1,2,0,1,0,1,0,4,3199.56,689.258,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
522,30/10/2008,4,10,"2,008",COLUMBIA HEIGHTS,2,1,683,1025,0,2,2,0,1,0,1,0,4,3199.56,689.258,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
488,10/07/2008,3,7,"2,008",COLUMBIA HEIGHTS,2,1,548,1076,0,2,2,0,1,0,1,0,4,3199.56,689.258,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
507,10/07/2008,3,7,"2,008",COLUMBIA HEIGHTS,2,1,548,1076,0,2,2,0,1,0,1,0,4,3199.56,689.258,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
593,04/06/2008,2,6,"2,008",MOUNT PLEASANT,2,1,0,755,6,1,2,0,1,0,1,0,4,3179.62,1063.583,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
519,11/07/2008,3,7,"2,008",KALORAMA,1,1,279,672,44,1,1,0,1,1,1,0,4,3185.48,882.415,18338,6.98,172362,11,41,20,11,69,13,6.8,5.8,4,5.8,3.7,43,16,1182000,18,6.7,1.6
535,21/08/2008,3,8,"2,008",MOUNT PLEASANT,2,1,0,1169,6,2,2,0,1,0,1,0,4,3179.62,1063.583,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
340,19/03/2008,1,3,"2,008",COLUMBIA HEIGHTS,2,1,512,567,42,1,1,0,0,1,1,0,4,3190.29,687.250,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
315,07/10/2008,4,10,"2,008",COLUMBIA HEIGHTS,2,1,528,595,42,1,1,0,1,1,1,0,4,3190.17,687.691,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
466,12/11/2009,8,23,"2,009",KALORAMA,1,1,279,672,45,1,1,0,1,1,1,1,4,3188.01,886.611,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
382,18/04/2008,2,4,"2,008",COLUMBIA HEIGHTS,2,1,487,537,42,1,1,0,0,1,1,0,4,3190.29,687.250,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
361,18/07/2008,3,7,"2,008",MOUNT PLEASANT,2,1,678,1260,3,1,2,0,1,1,1,0,4,3183.78,990.285,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
549,28/08/2008,3,8,"2,008",KALORAMA,1,1,600,965,10,2,2,0,1,1,1,1,4,3196.38,846.845,18338,6.98,172362,11,41,20,11,69,13,6.8,5.8,4,5.8,3.7,43,16,1182000,18,6.7,1.6
225,18/06/2008,2,6,"2,008",MOUNT PLEASANT,2,1,202,890,3,1,1,0,1,1,1,0,4,3183.78,990.285,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
460,22/01/2009,5,13,"2,009",MOUNT PLEASANT,2,1,368,913,4,1,1,1,1,1,1,0,4,3183.89,1002.613,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
475,23/04/2008,2,4,"2,008",MOUNT PLEASANT,2,1,619,1157,3,1,2,0,1,1,1,0,4,3183.89,1002.598,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
153,23/05/2008,2,5,"2,008",COLUMBIA HEIGHTS,2,1,2599,4074,108,8,8,0,1,0,1,0,3,3189.40,695.644,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
415,11/03/2009,5,15,"2,009",MOUNT PLEASANT,2,1,202,723,4,1,1,0,1,1,1,0,4,3183.89,1002.613,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
343,01/09/2009,7,21,"2,009",MOUNT PLEASANT,2,1,678,1303,4,1,2,0,1,1,1,0,4,3183.89,1002.613,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
401,05/10/2009,8,22,"2,009",MOUNT PLEASANT,2,1,619,1161,4,1,2,0,1,1,1,0,4,3183.89,1002.613,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
634,30/09/2009,7,21,"2,009",MOUNT PLEASANT,2,1,0,986,7,1,2,1,1,0,1,0,4,3179.91,1063.406,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
306,08/06/2009,6,18,"2,009",COLUMBIA HEIGHTS,2,1,658,752,43,1,1,0,0,1,1,0,4,3190.17,687.691,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
554,29/10/2008,4,10,"2,008",MOUNT PLEASANT,2,1,777,1084,90,1,2,0,0,0,1,1,4,3180.64,991.287,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
570,10/03/2009,5,15,"2,009",COLUMBIA HEIGHTS,2,1,650,948,109,2,2,0,1,0,1,0,4,3189.40,695.644,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
498,13/05/2009,6,17,"2,009",COLUMBIA HEIGHTS,2,1,650,964,109,2,2,0,1,0,1,0,4,3189.40,695.644,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
492,20/02/2009,5,14,"2,009",COLUMBIA HEIGHTS,2,1,650,966,109,2,2,0,1,0,1,0,4,3189.40,695.644,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
542,13/11/2008,4,11,"2,008",MOUNT PLEASANT,2,1,572,1716,90,3,2,0,1,0,1,1,4,3180.64,991.287,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
378,18/02/2009,5,14,"2,009",COLUMBIA HEIGHTS,2,1,650,1058,109,2,2,0,1,0,1,0,4,3189.40,695.644,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
520,17/12/2009,8,24,"2,009",MOUNT PLEASANT,2,1,368,890,4,1,1,0,1,1,1,0,4,3183.89,1002.613,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
504,21/04/2008,2,4,"2,008",COLUMBIA HEIGHTS,2,1,1013,792,90,2,2,0,1,0,1,0,4,3184.55,696.137,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
536,14/04/2009,6,16,"2,009",MOUNT PLEASANT,2,1,0,1210,7,2,2,0,1,0,1,1,4,3179.91,1063.406,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
442,02/06/2009,6,18,"2,009",MOUNT PLEASANT,2,1,438,1311,91,2,2,0,1,0,1,1,4,3180.64,991.287,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
595,15/09/2009,7,21,"2,009",KALORAMA,1,1,239,529,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
611,11/09/2009,7,21,"2,009",KALORAMA,1,1,222,483,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
509,01/09/2009,7,21,"2,009",KALORAMA,1,1,271,617,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
439,02/06/2009,6,18,"2,009",KALORAMA,1,1,320,740,86,2,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
443,27/05/2009,6,17,"2,009",KALORAMA,1,1,320,740,86,2,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
600,21/05/2009,6,17,"2,009",KALORAMA,1,1,271,617,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
332,30/06/2009,6,18,"2,009",KALORAMA,1,1,226,535,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
